2021-07-13 16:15:35,110 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:35,112 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Iron
2021-07-13 16:15:35,283 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:35,283 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:35,293 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Iron
2021-07-13 16:15:35,488 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:35,488 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:35,498 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Iron
2021-07-13 16:15:35,691 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:35,691 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:35,701 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Iron
2021-07-13 16:15:35,892 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:35,892 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:35,901 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Iron
2021-07-13 16:15:36,097 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:36,097 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:36,105 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Iron
2021-07-13 16:15:36,270 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:36,270 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:36,281 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Iron
2021-07-13 16:15:36,473 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:36,473 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:36,483 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Copper
2021-07-13 16:15:36,694 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:36,694 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:36,705 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Copper
2021-07-13 16:15:36,897 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:36,897 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:36,899 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Copper
2021-07-13 16:15:37,102 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:37,102 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:37,110 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Copper
2021-07-13 16:15:37,282 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:37,282 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:37,295 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Copper
2021-07-13 16:15:37,497 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:37,497 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:37,507 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Copper
2021-07-13 16:15:37,714 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:37,714 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:37,723 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Copper
2021-07-13 16:15:37,944 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:37,946 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:37,954 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Copper
2021-07-13 16:15:38,177 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:38,177 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:38,177 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Copper
2021-07-13 16:15:38,378 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:38,378 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:38,394 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Copper
2021-07-13 16:15:38,612 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:38,612 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:38,622 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Copper
2021-07-13 16:15:38,818 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:38,819 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:38,826 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Copper
2021-07-13 16:15:39,033 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:39,033 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:39,039 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Copper
2021-07-13 16:15:39,250 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:39,250 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:39,260 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Copper
2021-07-13 16:15:39,461 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:39,461 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:39,480 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Copper
2021-07-13 16:15:39,680 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:39,680 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:39,680 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Copper
2021-07-13 16:15:39,881 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:39,881 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:39,883 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Barytes
2021-07-13 16:15:40,064 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:40,064 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:40,076 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Barytes
2021-07-13 16:15:40,279 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:40,279 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:40,289 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Barytes
2021-07-13 16:15:40,442 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:40,442 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:40,452 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Barytes
2021-07-13 16:15:40,644 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:40,644 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:40,660 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Barytes
2021-07-13 16:15:40,853 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:40,854 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:40,863 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Barytes
2021-07-13 16:15:41,030 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:41,030 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:41,045 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Barytes
2021-07-13 16:15:41,229 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:41,229 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:41,239 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Barytes
2021-07-13 16:15:41,389 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:41,389 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:41,399 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Barytes
2021-07-13 16:15:41,573 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:41,573 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:41,583 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Barytes
2021-07-13 16:15:41,772 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:41,772 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:41,772 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Barytes
