2021-09-22 14:18:33,578 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Cobalt
2021-09-22 14:18:33,578 | DEBUG | MainThread | api.py:309 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-22 14:18:33,578 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:18:33,625 | DEBUG | MainThread | GeoPolRisk.py:385 -               endlog() | Number of successfull COMTRADE API attempts 0
2021-09-22 14:18:33,625 | DEBUG | MainThread | GeoPolRisk.py:386 -               endlog() | Number of total attempts 0
2021-09-22 14:18:33,625 | DEBUG | MainThread | GeoPolRisk.py:387 -               endlog() | Number of empty dataframes 0
2021-09-22 14:18:57,140 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Aluminium
2021-09-22 14:18:57,297 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=251&p=all&cc=2606&rg=1&fmt=json
2021-09-22 14:19:01,640 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | Complete Transaction
2021-09-22 14:19:01,640 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:19:01,685 | DEBUG | MainThread | GeoPolRisk.py:385 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-09-22 14:19:01,685 | DEBUG | MainThread | GeoPolRisk.py:386 -               endlog() | Number of total attempts 1
2021-09-22 14:19:01,685 | DEBUG | MainThread | GeoPolRisk.py:387 -               endlog() | Number of empty dataframes 0
2021-09-22 14:22:13,840 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Aluminium
2021-09-22 14:22:13,842 | DEBUG | MainThread | api.py:309 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-22 14:22:13,842 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:23:13,184 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Aluminium
2021-09-22 14:23:13,186 | DEBUG | MainThread | api.py:309 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-22 14:23:13,186 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:23:54,220 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Aluminium
2021-09-22 14:23:54,221 | DEBUG | MainThread | api.py:309 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-22 14:23:54,221 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:24:10,886 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 0 for the Country France for the resource Aluminium
2021-09-22 14:24:11,062 | DEBUG | MainThread | api.py:279 -     TotalCalculation() | 0 is not in list
2021-09-22 14:24:11,062 | DEBUG | MainThread | api.py:280 -     TotalCalculation() | Please update Production database!
2021-09-22 14:24:11,062 | DEBUG | MainThread | api.py:285 -     TotalCalculation() | 
2021-09-22 14:24:22,601 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country France for the resource Aluminium
2021-09-22 14:24:22,602 | DEBUG | MainThread | api.py:309 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-22 14:24:22,602 | DEBUG | MainThread | GeoPolRisk.py:361 -          extractdata() | Exporting database in the format csv
2021-09-22 14:24:22,610 | DEBUG | MainThread | GeoPolRisk.py:384 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-09-22 14:24:22,610 | DEBUG | MainThread | GeoPolRisk.py:385 -               endlog() | Number of total attempts 1
2021-09-22 14:24:22,610 | DEBUG | MainThread | GeoPolRisk.py:386 -               endlog() | Number of empty dataframes 0
