2021-10-13 14:55:13,318 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 14:55:13,318 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 14:58:03,772 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:58:03,772 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:58:07,279 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:58:07,280 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:58:07,314 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:58:07,314 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 14:58:32,859 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 14:58:32,859 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:58:33,009 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:58:33,283 | DEBUG | MainThread | main.py:456 -              execute() | INSERT INTO recordData (country, resource, year, recycling_rate, scenario, geopolrisk, hhi, wta, geopol_cf, resource_hscode, iso) VALUES ('European Union','Cobalt','2010','0.0','0','0.3905937986566168','0.501','0.7796283406319697','15506.573806667688','810520','97');
2021-10-13 14:58:33,285 | DEBUG | MainThread | gprs.py:300 -     TotalCalculation() | Complete Transaction
2021-10-13 14:58:33,286 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:58:33,286 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 14:58:33,286 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 14:58:33,287 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:58:33,287 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 14:58:33,287 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:01:16,562 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:01:16,563 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:01:16,648 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:01:16,649 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:01:26,179 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:01:26,179 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 15:01:26,180 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 15:02:40,770 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:02:40,770 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:02:40,797 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:02:40,797 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:02:55,011 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:02:55,011 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 15:02:55,012 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 15:03:33,727 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:03:33,728 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:03:33,767 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:03:33,768 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:03:43,659 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:03:43,660 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 15:03:43,661 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 15:04:56,839 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:04:56,839 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:04:56,860 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:04:56,861 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:05:04,907 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:05:04,907 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 15:05:04,908 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 15:05:04,910 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 0
2021-10-13 15:05:04,911 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 0
2021-10-13 15:05:04,911 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:05:04,912 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 0
2021-10-13 15:05:04,912 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 0
2021-10-13 15:05:04,912 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:07:26,945 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:07:26,946 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:07:26,969 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:07:26,970 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:07:38,084 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:07:38,084 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2011 for the Country European Union for the resource Cobalt
2021-10-13 15:07:38,278 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2011&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 15:07:41,382 | DEBUG | MainThread | main.py:456 -              execute() | INSERT INTO recordData (country, resource, year, recycling_rate, scenario, geopolrisk, hhi, wta, geopol_cf, resource_hscode, iso) VALUES ('European Union','Cobalt','2011','0.0','0','0.4050897484425237','0.472','0.858240992462974','14623.739918775105','810520','97');
2021-10-13 15:07:41,385 | DEBUG | MainThread | gprs.py:302 -     TotalCalculation() | Complete Transaction
2021-10-13 15:07:41,385 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 15:07:41,385 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 15:07:41,385 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:07:41,386 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 15:07:41,386 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 15:07:41,386 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:10:27,523 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 15:10:27,523 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 15:10:27,572 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 15:10:27,574 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:10:37,698 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 15:10:37,699 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2011 for the Country European Union for the resource Cobalt
2021-10-13 15:10:37,828 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2011&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 15:10:38,090 | DEBUG | MainThread | main.py:456 -              execute() | INSERT INTO recordData (country, resource, year, recycling_rate, scenario, geopolrisk, hhi, wta, geopol_cf, resource_hscode, iso) VALUES ('European Union','Cobalt','2011','0.0','0','0.4050897484425237','0.472','0.858240992462974','14623.739918775105','810520','97');
2021-10-13 15:10:38,315 | DEBUG | MainThread | gprs.py:302 -     TotalCalculation() | Complete Transaction
2021-10-13 15:10:38,316 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 15:10:38,316 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 15:10:38,316 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 15:10:38,319 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 15:10:38,320 | DEBUG | MainThread | main.py:393 -               endlog() | Number of total attempts 1
2021-10-13 15:10:38,320 | DEBUG | MainThread | main.py:394 -               endlog() | Number of empty dataframes 0
2021-10-13 18:02:10,930 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 18:02:10,948 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 18:02:11,078 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 18:02:11,118 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,125 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,151 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,155 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,155 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,156 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,162 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,162 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,163 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,167 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,167 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,168 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,171 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,171 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,172 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,175 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,176 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,177 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,180 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,181 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,182 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,186 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,186 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,188 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,191 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,191 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,192 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,195 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,196 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,197 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,200 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,201 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,202 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,205 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,205 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,206 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,209 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,209 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,210 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,213 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,213 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,215 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,219 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,219 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,220 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,224 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,224 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Manganese
2021-10-13 18:02:11,225 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,228 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,229 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Iron
2021-10-13 18:02:11,230 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,233 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,233 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Iron
2021-10-13 18:02:11,234 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,237 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,238 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Iron
2021-10-13 18:02:11,239 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,242 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,242 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Iron
2021-10-13 18:02:11,243 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,246 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,246 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Iron
2021-10-13 18:02:11,248 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,251 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,252 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Iron
2021-10-13 18:02:11,253 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,256 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,256 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Iron
2021-10-13 18:02:11,257 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,261 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,261 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Iron
2021-10-13 18:02:11,262 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,266 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,266 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Iron
2021-10-13 18:02:11,267 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,271 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,272 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Iron
2021-10-13 18:02:11,273 | DEBUG | MainThread | gprs.py:304 -     TotalCalculation() | No transaction has been made, as data preexists
2021-10-13 18:02:11,276 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 18:02:11,276 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Iron
